JAN,商品名,Type,BodyAxis,SweetAxis
4935919080644,ピノ　ノワール　レセルバ,Red,-1.8551613102615592,-2.075088285797017
4935919080668,ドンナ　マリア　シラー　アパッシメント,Red,5.958833867825996,1.1424980268439975
4935919080903,シャルドネ　グラン　レセルバ,White,-1.13215169019527,0.17802753211984992
4935919080910,ピノ　ノワール　グラン　レセルバ,Red,0.604086779189309,0.06771914133651334
4935919080927,メルロ　グラン　レセルバ,Red,2.6025315863176286,-1.3084305437000858
4935919080965,ソーヴィニヨン　ブラン　グラン　レセルバ,White,-2.06262140903749,-0.8339659378025943
4935919092364,シャトー　デ　ゼサール　ルージュ,Red,1.6944574698506802,-1.5868932428541538
4935919094306,ミュスカデ　セーヴル　エ　メーヌ,White,-3.7090461090424847,-0.4296563056403505
4935919095303,ドメーヌ デ オート ウーシュ ロゼ ダンジュ,Rose,-0.18612042483532593,4.762110942404383
4935919098854,エリタージュ,Red,-1.422145295127624,-2.0457360924441046
4935919193559,ユルツィガー　ヴュルツガルテン　リースリング　ファインヘルプ,White,7.726744780352359,12.192483052820823
4935919194624,ヴァイスブルグンダー　ビショッフスクロイツ　トロッケン,White,-2.916544922788481,1.2308947119402067
4935919197175,レッド　ヴィンヤード　ドルンフェルダー,Red,11.300763733086626,14.499053116024115
4935919197182,ホワイト　ヴィンヤード　モリオ　ムスカート,White,-1.0916375107542582,5.744933884268459
4935919198448,ミュラー　トゥルガウ　フォン　レス,White,-2.6252694080938817,2.031528673979866
4935919212762,メッツオ　ベルジュラック　ルージュ,Red,1.95067361964526,-1.386277087553429
4935919212915,コトー　デュ　ポン　デュ　ガール　キュヴェ　デ　ガレ,Red,-0.32699680327345554,-2.197765909826704
4935919213578,ペイ　ドック　メルロ,Red,-3.587171903656949,-2.7154967194767727
4935919213813,ペイ　ドック　ピノ　ノワール,Red,-0.06641003365967234,-1.0734311400723002
4935919217569,ペイ　ドック　カベルネ　ソーヴィニヨン　キュヴェ　ド　ブリュ,Red,-0.18527615102834924,-1.2575641788140337
4935919219723,ペイ　ドック　ヴィオニエ,White,-3.91075293190212,-1.1369740980454621
4935919310598,ペイ　ドック　シャルドネ,White,-3.696486174152703,-2.0458214672153567
4935919311861,ペイ　ドック　シャルドネ,White,-3.691825698875873,-1.5314078502454531
4935919311878,ペイ　ドック　シラー,Red,-1.5128335050280899,-1.6838545811393286
4935919311885,ペイ　ドック　メルロ,Red,-0.3779998775428352,-1.6039563415665707
4935919312448,ペイ　ドック　カベルネ　ソーヴィニヨン,Red,-0.06687122279256097,-2.1984068846105322
4935919312455,ペイ　ドック　ピノ　ノワール,Red,2.867788085280305,-0.10705457457191518
4935919312813,コート　ド　ガスコーニュ　ブラン,White,-5.062620865706615,-1.4453561871462133
4935919312981,ペイ　ドック　ピノ　ノワール　キュヴェ　ド　ブリュ,Red,0.6147311737662867,-1.4295335840125873
4935919314237,マルベック　ラ　ヴィーニュ　ア　レオンス,Red,1.0163236891508407,-2.4632659929525857
4935919314473,フィトゥ,Red,-0.14195116198107585,-2.5679679743869603
4935919316262,ヴァントゥー　レ　テール　ルージュ,Red,0.6703227286266056,-2.201657236891668
4935919316392,ヴァン　ド　ペイ　ド　メディテラネ　ルージュ　グルナッシュ,Red,-0.2892124293096013,-1.2369602354022204
4935919318006,ビュルル　エスク,Red,3.001231987635345,-0.8429276287858505
4935919319140,ペイ　ドック　ソーヴィニヨン　ブラン,White,-5.645902880908687,-1.865714226998032
