jan_code,wine_type,temp_name,umap_x,umap_y,cluster
4941495300427 ,White,Imamura　Koushu,-0.65861875,6.3514094,4
4941495300434 ,Red,Imamura　MuscatBaileyA＆BlackQueen,2.7672591,5.7821894,15
8011510030694 ,White,タヴィーノ・トレッビアーノ・ルビコーネ,-0.5717156,6.564251,4
8011510030687 ,Red,タヴィーノ・サンジョヴェーゼ・ルビコーネ,2.8381093,5.7468567,15
9352420000872 ,White,ピーツ・ピュアシャルドネ,-0.32425192,6.661232,4
9352420000704 ,Red,ピーツ・ピュア・カベルネ・ソーヴィニヨン,3.0454154,5.4199286,15
8437002076498 ,Red,TANIS  GRANRESERVA,3.1544251,5.609145,15
8436549544569 ,Red,DECRETO  REAL    CRIANZA   TEMPRANILLO,2.9721334,5.55533,15
7791203000517 ,Red,ラ・リンダ　マルベック,2.5138087,5.5711546,15
7791203001316 ,White,ラ・リンダ　トロンテス,-0.24305332,7.4062986,8
4560457914320 ,Red,Mont-Perat  BORDEUX  ,2.9002445,5.6463504,15
4901592931801 ,Spa,ザ・スパニッシュ・クオーター　カヴァブリュット白,-0.63664883,6.7849507,4
8410702064286 ,Spa,ムーチョ　升スパーリングワイン,-0.7726718,6.3963566,4
7804320745480 ,White,コノスル　オーガニック　シャルドネ,-0.528932,6.771499,4
4990583310411 ,White,北海度ケルナードライJ（辛口）,-0.33567575,7.158579,8
818051020744 ,Red,ブレッド&バラー　カベルネ・ソーヴィニヨン,3.1227348,5.4575186,15
3185370810606 ,Spa,MINI MOET   MOET &CHANDON  ROSE IMPERIAL,-0.66962385,6.6264777,4
4973480878888 ,White,メルシャン・ワインズ　フルーツスキップ　ホワイト,-0.8541581,6.328674,4
4973480348824 ,White,メルシャン　おいしい酸化防止剤無添加白ワイン,-1.029403,6.4159884,4
4973480348817 ,Red,メルシャン　おいしい酸化防止剤無添加赤ワインふくよか,-1.008936,6.333374,4
4973480878673 ,White,カッシェロ・デル・ディアブロ　デビルズ・カルナバルインクレディブルシャルドネ　,-0.95899594,6.343661,4
4973480878871 ,Red,メルシャン・ワインズ　フルーツスキップ　レッド,-0.6520516,6.0253634,4
4904230040323 ,White,サンタ・ヘレナ　アルパカ　ソーヴィニヨン・ブラン,-0.3257452,7.252951,8
3262152954755 ,White,バロン・フィリップ・ド・ロスチャイルド　ムートン・カデ・ブラン,0.049319472,6.9596963,8
9421003814202 ,Red,シレー二　クリアセレクション　ピノノアール　,2.7292209,5.6935563,15
85000034064 ,White,カリフォルニア・トラディションズ　シャルドネ,-0.7019968,6.444855,4
8410591004783 ,White,クネ ルエダ 2023 クネ 750ml [白],-0.1471329,6.8496366,4
4962840966006 ,Red,ダンシング　フレイム　メルロー,2.8622797,5.507745,15
4901777282834 ,Red,ウィリアムヒル　ナパヴァレー　カベルネソーヴィニヨン,3.2916024,5.7219996,15
8008530072209 ,Spa,タヴェルネッロ　ランブルスコ　ロッソ,-1.6539121,7.661031,20
8008530029524 ,White,タヴェルネッロ　オルガニコ　トレッビアーノ　シャルドネ250mlテトラパック,-0.63476866,7.5220537,8
8008530029531 ,Red,タヴェルネッロ　オルガニコ　サンジョヴェーゼ　250mlテトラパック,3.1253371,5.9972878,9
8008530008062 ,Red,タヴェルネッロ　オルガニコ　シラー　250mlテトラパック,3.1167622,5.9986286,9
4901777440128 ,White,酸化防止剤無添加のおいしいワイン　琥珀のコク　ポリフェノール2倍,-1.2434993,7.5487204,10
4582385520756 ,White,ロスカロス バッグインボックス 白 ,0.4995335,6.798785,2
4582385520732 ,Red,ロスカロス バッグインボックス 赤,3.1586664,5.485001,15
